Layer,cycle_knn,mutual_knn,cka,svcca
embedding,0.5858585834503174,0.08484849333763123,0.19443142414093018,0.9898088056280702
layer_0_attn,0.5959596037864685,0.08383838832378387,0.1597326099872589,0.9910507253209583
layer_0_mlp,0.6363636255264282,0.10707072168588638,0.1789243519306183,0.9922674012523351
final_ln,0.6363636255264282,0.10606061667203903,0.21139279007911682,0.9884623065196559
lm_head,0.6464646458625793,0.09595959633588791,0.1657232642173767,0.988217582325211
