Probe Point;Position 1;Position 2;Position 3;Position 4;Position 5;Position 6;Position 7;Position 8;Position 9
embedding;0.5898;0.5105999999999999;0.5212;0.5044000000000001;0.6434;0.5126000000000001;0.5234;0.5172000000000001;0.5698
layer0_pre_attn_norm;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer0_attn;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer0_post_attn;0.5898;0.5105999999999999;0.5212;0.5044000000000001;0.6434;0.5126000000000001;0.5234;0.5172000000000001;0.5698
layer0_pre_ffn_norm;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer0_mlp_fc;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer0_mlp_proj;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer1_pre_attn_norm;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer1_attn;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer1_post_attn;0.5898;0.5105999999999999;0.5212;0.5044000000000001;0.6434;0.5126000000000001;0.5234;0.5172000000000001;0.5698
layer1_pre_ffn_norm;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer1_mlp_fc;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
layer1_mlp_proj;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
final_ln;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
lm_head;0.502;0.502;0.4922000000000001;0.49079999999999996;0.49219999999999997;0.49799999999999994;0.49260000000000004;0.5136000000000001;0.4936
