Layer,cycle_knn,mutual_knn,cka,svcca
embedding,0.9898989796638489,1.0,1.0,0.9698640139033998
layer_0_attn,0.9494949579238892,1.0,1.0,0.9642579063223826
layer_0_mlp,0.9797979593276978,1.0,1.0,0.9294617377565079
final_ln,0.9898989796638489,1.0,1.0,0.9298122740319757
lm_head,0.9797979593276978,1.0,1.0,0.9466720617755047
