Layer,cycle_knn,mutual_knn,cka,svcca
embedding,0.20202019810676575,0.0363636389374733,0.20715396106243134,0.750139739886277
layer_0_attn,0.1515151560306549,0.03232323378324509,0.217410147190094,0.7426328510907412
layer_0_mlp,0.20202019810676575,0.04444444552063942,0.24940736591815948,0.7459493422423955
layer_1_attn,0.24242424964904785,0.046464644372463226,0.23108860850334167,0.7374934133499158
layer_1_mlp,0.2525252401828766,0.05656566470861435,0.2387038618326187,0.7384717241232979
final_ln,0.05050504952669144,0.046464644372463226,0.0,0.747383435564797
lm_head,0.06060606241226196,0.2646464705467224,0.0,0.7482673676683265
