Layer,cycle_knn,mutual_knn,cka,svcca
embedding,0.21212121844291687,0.0383838415145874,0.20734797418117523,0.750240348838822
layer_0_attn,0.1515151560306549,0.028282830491662025,0.2031107395887375,0.7390690877253385
layer_0_mlp,0.21212121844291687,0.04848484694957733,0.24838140606880188,0.7474103450979895
layer_1_attn,0.2222222238779068,0.04848485067486763,0.22177012264728546,0.7461268757531303
layer_1_mlp,0.2525252401828766,0.05858585983514786,0.16515004634857178,0.7437999485145436
final_ln,0.2525252401828766,0.05656566098332405,0.20312607288360596,0.7423322701677177
lm_head,0.2626262605190277,0.04848485067486763,0.16288895905017853,0.74498963747567
