Layer,cycle_knn,mutual_knn,cka,svcca
embedding,0.21212121844291687,0.0383838415145874,0.23126310110092163,0.7466187973963558
layer_0_attn,0.19191919267177582,0.042424239218235016,0.21832050383090973,0.7507298376721789
layer_0_mlp,0.20202019810676575,0.042424239218235016,0.23251089453697205,0.7394696259228818
layer_1_attn,0.2222222238779068,0.04848485067486763,0.21869820356369019,0.7486364920651934
layer_1_mlp,0.20202019810676575,0.050505056977272034,0.16493621468544006,0.7457358172522566
final_ln,0.2222222238779068,0.05858585983514786,0.0,0.7411911613782091
lm_head,0.2222222238779068,0.05050504952669144,0.0,0.7440465202485975
